acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-8480,-15400,896,-2694,40,-3316,2026-01-22 11:38:36,0.0
-7232,-13096,1716,-1565,-6471,-5902,2026-01-22 11:38:36,0.0
-7672,-13036,2132,56,-637,-7931,2026-01-22 11:38:36,0.0
-4628,-15312,4176,3391,-115,704,2026-01-22 11:38:36,0.0
-2176,-14392,2444,-4029,1296,6222,2026-01-22 11:38:36,0.0
-6408,-13524,2396,-5032,-2751,4257,2026-01-22 11:38:37,0.0
-9432,-14552,224,-6508,-12157,8675,2026-01-22 11:38:37,0.0
-9148,-13756,1672,-17869,-26547,6513,2026-01-22 11:38:37,0.0
-6896,-13668,2204,-20305,-29491,4160,2026-01-22 11:38:37,0.0
-8416,-13572,3384,-3225,-24906,3709,2026-01-22 11:38:37,
